localidad_id,localidad,tipo_territorial,unidad_vecinal,latitud,longitud,poblacion_2024,poblacion_nna_2024,pct_nna
U01,Rengo Centro,Urbano,UV-1,-34.40518,-70.86324,12500,3188,25.5
U02,Rengo Norte,Urbano,UV-2,-34.395,-70.86,6500,1658,25.5
U03,Rengo Sur,Urbano,UV-3,-34.415,-70.866,4500,1148,25.5
U04,Rengo Oriente,Urbano,UV-4,-34.404,-70.852,3000,765,25.5
U05,Rengo Poniente,Urbano,UV-5,-34.406,-70.874,2000,510,25.5
U06,Rosario Centro,Urbano,UV-6,-34.34788,-70.84245,4500,1148,25.5
U07,Rosario Poniente,Urbano,UV-7,-34.35,-70.851,3700,944,25.5
U08,Rienci Valencia,Urbano,UV-8,-34.41,-70.87,3200,816,25.5
U09,El Rodeo,Urbano,UV-9,-34.403,-70.848,2861,730,25.5
R01,Apalta,Rural,UV-10,-34.33885,-70.86644,1850,472,25.5
R02,Chanqueahue,Rural,UV-11,-34.4335,-70.78779,1420,362,25.5
R03,Cobil,Rural,UV-12,-34.39994,-70.89498,1180,301,25.5
R04,Esmeralda,Rural,UV-13,-34.34281,-70.9049,2650,676,25.5
R05,La Chimba,Rural,UV-14,-34.40804,-70.81718,1340,342,25.5
R06,Las Pataguas,Rural,UV-15,-34.3905,-70.95144,1110,283,25.5
R07,Lo Cartagena,Rural,UV-16,-34.39026,-70.8737,1580,403,25.5
R08,Lo de Lobo,Rural,UV-17,-34.37523,-70.82941,980,250,25.5
R09,Los Choapinos,Rural,UV-18,-34.3192,-70.83674,2100,536,25.5
R10,Los Gomeros,Rural,UV-19,-34.35213,-70.87866,1540,393,25.5
R11,Malambo,Rural,UV-20,-34.42437,-70.83827,1390,354,25.5
R12,Naicura,Rural,UV-21,-34.32727,-70.91833,2050,523,25.5
R13,Popeta,Rural,,-34.42,-70.88,1320,337,25.5
R14,Pueblo Hundido,Rural,,-34.37959,-70.88094,830,212,25.5
R15,San Jorge,Rural,,-34.31297,-70.87804,920,235,25.5
R16,Santa Isabel,Rural,,-34.30677,-70.90131,765,195,25.5
