kpi_id,categoria,sub_categoria,indicador,valor,unidad,fuente,orden_categoria
1,Universo,Total,NNA encuestados,4036,NNA,Diagnóstico Comunal Infancia 2025,1
2,Universo,Total,Establecimientos visitados,27,establ.,Diagnóstico Comunal Infancia 2025,2
3,Demografía,Sexo,% Mujeres,50.4,%,Diagnóstico Comunal Infancia 2025,3
4,Demografía,Sexo,% Hombres,49.6,%,Diagnóstico Comunal Infancia 2025,4
5,Demografía,Edad,NNA 6-12 años (%),35.0,%,Diagnóstico Comunal Infancia 2025,5
6,Demografía,Edad,NNA 12-15 años (%),32.0,%,Diagnóstico Comunal Infancia 2025,6
7,Demografía,Edad,NNA 15-18 años (%),33.0,%,Diagnóstico Comunal Infancia 2025,7
8,Salud Mental,Síntomas,Reportan ansiedad o depresión (%),42.0,%,Diagnóstico Comunal Infancia 2025,8
9,Salud Mental,Acceso,Acceso a apoyo psicológico (%),28.0,%,Diagnóstico Comunal Infancia 2025,9
10,Salud Mental,Brecha,NNA sin atención salud mental (%),72.0,%,Diagnóstico Comunal Infancia 2025,10
11,Violencia,Escolar,Vio o vivió violencia escolar (%),76.0,%,Encuesta Online NNA 2026,11
12,Violencia,Escolar,Bullying habitual (%),31.5,%,Diagnóstico Comunal Infancia 2025,12
13,Violencia,Escolar,Ciberacoso (%),18.2,%,Diagnóstico Comunal Infancia 2025,13
14,Violencia,Familiar,Violencia intrafamiliar reportada %,12.4,%,Diagnóstico Comunal Infancia 2025,14
15,Educación,Trayectoria,Asistencia regular (%),92.5,%,Diagnóstico Comunal Infancia 2025,15
16,Educación,Trayectoria,Deserción escolar (%),4.1,%,Diagnóstico Comunal Infancia 2025,16
17,Educación,Cobertura,Cobertura preescolar (%),47.0,%,Diagnóstico Comunal Infancia 2025,17
18,Educación,Calidad,Satisfacción con su colegio (%),68.3,%,Diagnóstico Comunal Infancia 2025,18
19,Participación,Comunitaria,Participa en agrupaciones (%),52.4,%,Encuesta Online NNA 2026,19
20,Participación,Política,Quiere participar en proyectos (%),100.0,%,Encuesta Online NNA 2026,20
21,Participación,Política,Se siente escuchado por adultos (%),24.0,%,Encuesta Online NNA 2026,21
22,Espacio Público,Uso,Usa plazas o parques (%),61.9,%,Encuesta Online NNA 2026,22
23,Espacio Público,Calidad,Califica espacios públicos (1-5),2.9,puntaje,Encuesta Online NNA 2026,23
24,Identidad,Sentido pertenencia,Identidad local FUERTE (%),47.6,%,Encuesta Online NNA 2026,24
25,Identidad,Sentido pertenencia,No sabe sobre identidad (%),33.0,%,Encuesta Online NNA 2026,25
26,Vivienda,Hacinamiento,NNA en hacinamiento (%),14.2,%,Diagnóstico Comunal Infancia 2025,26
27,Vivienda,Servicios,Sin acceso a internet hogar (%),11.6,%,Diagnóstico Comunal Infancia 2025,27
28,Apoderados,Parentalidad,Apoderados sin herramientas (%),58.7,%,Diagnóstico Comunal Infancia 2025,28
29,Apoderados,Acompañamiento,Apoderados que acompañan tareas (%),62.1,%,Diagnóstico Comunal Infancia 2025,29
30,Derechos,Conocimiento CDN,Conoce sus derechos NNA (%),41.3,%,Diagnóstico Comunal Infancia 2025,30
31,Derechos,Vulneraciones,NNA con vulneración detectada (%),18.9,%,Diagnóstico Comunal Infancia 2025,31
