respondiente_id,fecha_envio,genero,edad_rango,situacion_actual,nivel_estudios,sector_residencia,tipo_actor,pertenece_agrupacion,identidad_local,fortaleza_comunal,oportunidad,debilidad,amenaza,nota_atencion_presencial,nota_atencion_digital,idea_innovadora,es_nna
CIU001,8/10/2025 ,Hombre,45–59 años,Trabajando con contrato formal,Educación técnico-profesional completa,Rengo Urbano,Orden y Seguridad,Sí,Débil,Ordenado y limpio,Mejor difusión nacional e internacional,"Mejoramiento calzada,luminarias,sector rurales",Delitos connotación social.,2.0,3.0,Horas médicas consultorios vía telefónica para la 3ra edad,0
CIU002,22/10/2025,Mujer,30–44 años,Buscando empleo,Educación media completa,"Villa Santa Ana ,Juan Egenau, Rengo","Socieda Civil (Junta de vecinos, COSOC)",Sí,Fuerte,"El alcalde Enrique del barrio ,principal fortaleza de hoy",Innovación horario del comercio que abran más temprano y cierren más tarde,La delincuencia organizada,"La delincuencia ,para que pueda haber más comercio abierto de temprano",3.0,3.0,Atención de calidad de las asistentes y que ayuden en vez que se nieguen,0
CIU003,22/10/2025,Mujer,30–44 años,Trabajando con contrato formal,Educación técnico-profesional completa,11. Rengo Urbano,Público,No,Fuerte,Los vecinos,Deporte,"Las calles, áreas verdes","La inseguridad en poblaciones de alto riegos (4 de septiembre, rienzi valencia, san benito, campamentos",4.0,4.0,Poder hablar de forma directa y presencial con el alcalde.,0
CIU004,22/10/2025,Mujer,45–59 años,Trabajando con contrato formal,Educación universitaria completa,11. Rengo Urbano,Público,No,Débil,"Cercana ciudades grandes, Rancagua y San Fernando, pero aún tranquila",Turismo hay varias cosas como cordillera o campesinas,Accesos a la ciudad,Crisis economica,3.0,4.0,Que los trabajadores atiendan publico 1/2 hora despues de entrar para que alcancen a tomar desayuno y sus cosas y así atender sin demoras al publico,0
CIU005,22/10/2025,Hombre,60 años o más,Jubilado(a) o pensionado(a),Educación media completa,11. Rengo Urbano,"Socieda Civil (Junta de vecinos, COSOC), Deportivo",Sí,Muy débil,Salud,Falta reciclaje como una política municipal,No hay respeto alguno por las leyes del transito,Demasiados comerciantes ambulantes.,5.0,1.0,Que haya realmente un sistema que permita enviar sugerencias lleguen a la autoridad sin pasar por los filtros,0
CIU006,22/10/2025,Hombre,30–44 años,Trabajando con contrato formal,Educación universitaria incompleta,10. Esmeralda,Público,No,Débil,Recursos,Innovacion y Turismo,No escuchar a otros actores que no sean del gobierno municipal de turno,,2.0,3.0,"Impulsar la innovación local, construir juntos la identidad de rengo y su crecimiento además de incorporar comunas vecinas.",0
CIU007,22/10/2025,Mujer,30–44 años,Trabajando de manera independiente o informal,Educación técnico-profesional incompleta,9. Rosario,Deportivo,Sí,Débil,Para ser una comuna ( para algunos desconocida) tiene un muy buen desarrollo agrícola.,Centros de bienestar  para todas las edades a un costo que no sea excesivo por ejemplo,"Sus calles, llenas de hoyos y los atochamientos, las veredas en mal estado .","Amenaza la delincuencia a cualquier hora del día, la toma de espacios públicos por drogadictos .o personas con problemas mentales.",1.0,3.0,"Con lo más básico, colocar de puesto fijo a una recepcionista que entregue una información mas cercana, muchas veces uno va con dudas a hacer tramites y necesita que cuando se pida dicha información e ir a la ventanilla correspondiente la persona atienda con cordialidad y educación minimo.",0
CIU008,22/10/2025,Mujer,45–59 años,Trabajando con contrato formal,Educación media completa,9. Rosario,Vecina del sector Rosario,No,Muy débil,Agro industrial,"Turismo, industrias que fomente bienas practicas laborales, agricultura avanzada, tecnologías avanzafas que permitan reciclar de manera efectiva.","Malas practicas en la gestion a nivel comuna, en todo ambito.",Politicas engañosas que vienen a dañar el prestigio de quienes desean el bien comunal.,4.0,3.0,Personal 100% eficiente con respuestas claras,0
CIU009,23/10/2025,Mujer,18–29 años,Buscando empleo,Educación media completa,11. Rengo Urbano,"Cultural, Deportivo",No,Débil,Tranquilo,,Poco campo laboral,,4.0,2.0,"Propondría tener mejor comunicación y trabajo en equipo entre los diferentes departamentos, ya sea para gestionar recursos u responder inquietudes y no estar de bote de un lado a otro buscando una solución.",1
CIU010,23/10/2025,Hombre,18–29 años,Trabajando con contrato formal,Educación universitaria completa,11. Rengo Urbano,Público,No,Fuerte,Calidad de vida,Desarrollo Inmobiliario,Desarrollo Económico,Inseguridad,4.0,4.0,Fortalecimiento de la inversión local y/o regional,1
