respondiente_id,pregunta_id,pregunta,respuesta,genero,edad_rango,localidad_residencia
NNA001,P00,Marca temporal,2025-10-22 10:58:09.220000,Mujer,14 a 18,ESMERALDA
NNA001,P01,Nombre Completo,Trinidad Paola Zanorano Pérez,Mujer,14 a 18,ESMERALDA
NNA001,P02,Género,Mujer,Mujer,14 a 18,ESMERALDA
NNA001,P03,Seleccione su Rango de edad,14 a 18,Mujer,14 a 18,ESMERALDA
NNA001,P04,¿En qué sector o localidad de Rengo resides actualmente?,ESMERALDA,Mujer,14 a 18,ESMERALDA
NNA001,P05,Sector/Barrio/Villa donde vives:  ,"San jorge, parcela 1",Mujer,14 a 18,ESMERALDA
NNA001,P06,¿A qué Colegio/Liceo asiste o asistió en el último periodo?,Liceo Luis Urbina Flores,Mujer,14 a 18,ESMERALDA
NNA001,P07,¿Cómo describirías el sentido de identidad local en Rengo?,Fuerte,Mujer,14 a 18,ESMERALDA
NNA001,P08,"¿Perteneces y/o participas en Agrupaciones Comunitarios, Culturales, Deportivas?",Sí,Mujer,14 a 18,ESMERALDA
NNA001,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Cultura,Mujer,14 a 18,ESMERALDA
NNA001,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),deporte y recreación,Mujer,14 a 18,ESMERALDA
NNA001,P10,¿Compartes con tus vecinos en actividades recreativas?,No,Mujer,14 a 18,ESMERALDA
NNA001,P11,¿Has visto o vivido situaciones de violencia en tu colegio?,Rara vez,Mujer,14 a 18,ESMERALDA
NNA001,P12,¿Qué tipo de situaciones se presentan con más frecuencia?,Burlas o acoso verbal,Mujer,14 a 18,ESMERALDA
NNA001,P13,¿A quién acudirías si sufres o ves una situación de violencia escolar?,Profesor/a o inspector/a,Mujer,14 a 18,ESMERALDA
NNA001,P14,¿Te sientes seguro/a al caminar por tu barrio?,Muy seguro/a,Mujer,14 a 18,ESMERALDA
NNA001,P15,¿Qué situaciones te hacen sentir inseguro/a en tu barrio?,Nada,Mujer,14 a 18,ESMERALDA
NNA001,P16,¿Cómo llegas al colegio o liceo?,En micro,Mujer,14 a 18,ESMERALDA
NNA001,P17,¿Te sientes seguro/a en tu barrio?,Muy seguro/a,Mujer,14 a 18,ESMERALDA
NNA001,P18,¿Qué lugares visitas más en tu comuna?,Vivo en el campo,Mujer,14 a 18,ESMERALDA
NNA001,P18,¿Qué lugares visitas más en tu comuna?,xd,Mujer,14 a 18,ESMERALDA
NNA001,P19,¿Qué cosas te hacen sentir feliz en tu barrio o comuna?,"La naturaleza, La tranquilidad",Mujer,14 a 18,ESMERALDA
NNA001,P20,¿Qué problemas o cosas negativas notas donde vives?,Nada,Mujer,14 a 18,ESMERALDA
NNA001,P21,¿Cómo calificas la limpieza y orden de tu barrio?,"Aceptable, No lo sé",Mujer,14 a 18,ESMERALDA
NNA001,P22,¿Participas en actividades del municipio o tu colegio?,"Sí, frecuentemente",Mujer,14 a 18,ESMERALDA
NNA001,P23,¿Dónde te gusta pasar tu tiempo libre?,En casa,Mujer,14 a 18,ESMERALDA
NNA001,P24,¿Qué tanto te sientes escuchado/a por los adultos?,Siempre,Mujer,14 a 18,ESMERALDA
NNA001,P25,¿Qué calificación le pondrías a tu comuna como lugar para vivir?,4.0,Mujer,14 a 18,ESMERALDA
NNA001,P26,¿Cómo era tu barrio cuando eras más pequeño/a?,Igual que ahora,Mujer,14 a 18,ESMERALDA
NNA001,P27,¿Dónde jugabas cuando eras pequeño/a?,"En el patio de mi casa, En la escuela",Mujer,14 a 18,ESMERALDA
NNA001,P28,¿Con quién pasabas más tiempo cuando eras niño/a?,Con familia,Mujer,14 a 18,ESMERALDA
NNA001,P29,¿Qué cosas te hacían feliz antes?,"Juegos, Mascotas, Familia, Naturaleza",Mujer,14 a 18,ESMERALDA
NNA001,P30,¿Qué cosas no te gustaban cuando eras pequeño/a?,Falta de actividades,Mujer,14 a 18,ESMERALDA
NNA001,P31,¿Participabas en actividades escolares o municipales?,Sí,Mujer,14 a 18,ESMERALDA
NNA001,P32,¿Qué lugares de Rengo te gustaban más antes?,Feria,Mujer,14 a 18,ESMERALDA
NNA001,P33,¿Qué cambios has notado desde entonces?,Más comercio,Mujer,14 a 18,ESMERALDA
NNA001,P34,¿Crees que tu barrio cambió para mejor o peor?,Igual,Mujer,14 a 18,ESMERALDA
NNA001,P35,¿Qué recuerdos bonitos guardas de antes?,"Juegos con amigos/as, Familia, Naturaleza",Mujer,14 a 18,ESMERALDA
NNA001,P36,¿Qué sientes al ver esta imagen?,Tranquilidad,Mujer,14 a 18,ESMERALDA
NNA001,P37,¿Cómo te gustaría que fuera tu comuna en el futuro?,Con más cultura,Mujer,14 a 18,ESMERALDA
NNA001,P38,¿Qué espacios nuevos te gustaría tener cerca?,Piscinas,Mujer,14 a 18,ESMERALDA
NNA001,P38,¿Qué espacios nuevos te gustaría tener cerca?,Centros juveniles,Mujer,14 a 18,ESMERALDA
NNA001,P38,¿Qué espacios nuevos te gustaría tener cerca?,Cafeterías o cines,Mujer,14 a 18,ESMERALDA
NNA001,P39,¿Qué actividades te gustaría que existieran para jóvenes?,Deportes,Mujer,14 a 18,ESMERALDA
NNA001,P40,¿Qué tipo de transporte te gustaría usar en el futuro?,Tren,Mujer,14 a 18,ESMERALDA
NNA001,P41,¿Cómo imaginas tu barrio ideal?,"Limpio, Seguro",Mujer,14 a 18,ESMERALDA
NNA001,P42,¿En qué temas te gustaría ayudar a mejorar tu comuna?,Deportes,Mujer,14 a 18,ESMERALDA
NNA001,P43,¿Qué mensaje le darías al Alcalde o Concejo Municipal?,Apoyar proyectos escolares,Mujer,14 a 18,ESMERALDA
NNA001,P44,"Si fueras Alcalde/sa, ¿Qué harías primero?",Haría tardes deportivas,Mujer,14 a 18,ESMERALDA
NNA001,P45,¿Te gustaría participar en proyectos comunales?,Sí,Mujer,14 a 18,ESMERALDA
NNA001,P45,¿Te gustaría participar en proyectos comunales?,en mi colegio,Mujer,14 a 18,ESMERALDA
NNA001,P46,¿Qué sueño tienes para Rengo en 10 años?,"Más verde, Más unido, Más feliz",Mujer,14 a 18,ESMERALDA
NNA002,P00,Marca temporal,2025-10-22 11:18:02.031000,Mujer,14 a 18,PORTEZUELO
NNA002,P01,Nombre Completo,Florencia Eloisa Del Barrio Chabrillard,Mujer,14 a 18,PORTEZUELO
NNA002,P02,Género,Mujer,Mujer,14 a 18,PORTEZUELO
NNA002,P03,Seleccione su Rango de edad,14 a 18,Mujer,14 a 18,PORTEZUELO
NNA002,P04,¿En qué sector o localidad de Rengo resides actualmente?,PORTEZUELO,Mujer,14 a 18,PORTEZUELO
NNA002,P05,Sector/Barrio/Villa donde vives:  ,Portezuelo,Mujer,14 a 18,PORTEZUELO
NNA002,P06,¿A qué Colegio/Liceo asiste o asistió en el último periodo?,Colegio Asunción,Mujer,14 a 18,PORTEZUELO
NNA002,P07,¿Cómo describirías el sentido de identidad local en Rengo?,Fuerte,Mujer,14 a 18,PORTEZUELO
NNA002,P08,"¿Perteneces y/o participas en Agrupaciones Comunitarios, Culturales, Deportivas?",Sí,Mujer,14 a 18,PORTEZUELO
NNA002,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Seguridad pública y orden,Mujer,14 a 18,PORTEZUELO
NNA002,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Empleo y desarrollo económico,Mujer,14 a 18,PORTEZUELO
NNA002,P09,¿Qué áreas debería priorizar el nuevo Plan de Desarrollo Comunal (PLADECO) 2025–2035? (Selecciona hasta tres),Medio ambiente y sustentabilidad,Mujer,14 a 18,PORTEZUELO
NNA002,P10,¿Compartes con tus vecinos en actividades recreativas?,Rara vez,Mujer,14 a 18,PORTEZUELO
NNA002,P11,¿Has visto o vivido situaciones de violencia en tu colegio?,"Sí, varias veces",Mujer,14 a 18,PORTEZUELO
NNA002,P12,¿Qué tipo de situaciones se presentan con más frecuencia?,Peleas físicas,Mujer,14 a 18,PORTEZUELO
NNA002,P13,¿A quién acudirías si sufres o ves una situación de violencia escolar?,Profesor/a o inspector/a,Mujer,14 a 18,PORTEZUELO
NNA002,P14,¿Te sientes seguro/a al caminar por tu barrio?,Muy seguro/a,Mujer,14 a 18,PORTEZUELO
NNA002,P15,¿Qué situaciones te hacen sentir inseguro/a en tu barrio?,Consumo de alcohol o drogas,Mujer,14 a 18,PORTEZUELO
NNA002,P16,¿Cómo llegas al colegio o liceo?,En auto particular,Mujer,14 a 18,PORTEZUELO
NNA002,P17,¿Te sientes seguro/a en tu barrio?,Muy seguro/a,Mujer,14 a 18,PORTEZUELO
