respondiente_id,fecha_envio,genero,edad_rango,localidad_residencia,colegio,sentido_identidad,pertenece_agrupacion,comparte_vecinos,violencia_escolar,seguro_caminar_barrio,transporte_colegio,seguro_barrio,limpieza_barrio,participa_actividades,escuchado_por_adultos,nota_comuna_1_5,cambio_barrio,transporte_futuro,mensaje_alcalde,que_haria_alcalde,quiere_participar,sueno_2035
NNA001,2025-10-22,Mujer,14 a 18,ESMERALDA,Liceo Luis Urbina Flores,Fuerte,Sí,No,Rara vez,Muy seguro/a,En micro,Muy seguro/a,"Aceptable, No lo sé","Sí, frecuentemente",Siempre,4.0,Igual,Tren,Apoyar proyectos escolares,Haría tardes deportivas ,Sí,"Más verde, Más unido, Más feliz"
NNA002,2025-10-22,Mujer,14 a 18,PORTEZUELO,Colegio Asunción,Fuerte,Sí,Rara vez,"Sí, varias veces",Muy seguro/a,En auto particular,Muy seguro/a,Aceptable,"Sí, frecuentemente",A veces,4.0,Para mejor,Tren,Escuchar a los jóvenes,Empezar un plan de seguridad y control de violencia física en centros educativos ,Sí,Más verde
NNA003,2025-10-22,Hombre,14 a 18,CHANQUEAHUE,Liceo Luis Urbina Flores,Fuerte,Sí,No,Rara vez,Muy seguro/a,En transporte escolar,Muy seguro/a,Aceptable,"Sí, frecuentemente",A veces,3.0,Igual,Bus gratuito,Escuchar a los jóvenes,pongo más lugares recreativos. Patios de comida o cosas asi,Sí,Más moderno
NNA004,2025-10-22,Mujer,18 a 20,LOS GOMEROS,Escuela Apalta,Fuerte,No,Sí,Rara vez,Poco seguro/a,A pie,Poco seguro/a,Aceptable,A veces,A veces,3.0,Igual,Bus gratuito,Escuchar a los jóvenes,Arreglaria las plazas de los sectores mas rurales colocaria juegos para los niños mas actividades y lo principal mas seguridad ,Sí,Más moderno
NNA005,2025-10-22,Hombre,6 a 12,ROSARIO,Colegio rosario college,Débil,Sí,Sí,Rara vez,Poco seguro/a,En transporte escolar,Poco seguro/a,Aceptable,A veces,A veces,3.0,Igual,Bicicleta eléctrica,Apoyar proyectos escolares,"Crear instancias de talleres para llegar a los jóvenes, para potenciar sus talentos y sea artístico, deporte, ciencias entre otros . crer becas o ayudas par dichos talentos,hacen faltan escuelas o tal",Sí,Más participativo
NNA006,2025-10-23,Hombre,18 a 20,RINCONADA DE MALAMBO,Liceo Industrial de Rengo,Débil,Rara Vez,Sí,"Sí, varias veces",Nada seguro/a,A pie,Poco seguro/a,Aceptable,A veces,A veces,2.0,Para peor,Bicicleta eléctrica,Escuchar a los jóvenes,ESCUCHAR A LOS JOVENES Y SEGUIR MEJORANDO RENGO ,Sí,Más moderno
NNA007,2025-10-23,Mujer,14 a 18,RENGO URBANO,Colegio Antilen,Débil,Rara Vez,No,Rara vez,Muy seguro/a,En auto particular,No lo sé / No salgo mucho,Aceptable,A veces,Casi nunca,4.0,Para mejor,Tren,Apoyar proyectos escolares,"Crearía más ciclovías en ciertas calles más habitadas/públicas, y construiría más sedes donde se puedan realizar actividades. ",Sí,Más moderno
NNA008,2025-10-23,Hombre,12 a 14,RENGO URBANO,Escuela Vicente Huidobro,Fuerte,Rara Vez,No,Nunca,Algo seguro/a,A pie,Algo seguro/a,Sucio,"Sí, frecuentemente",Siempre,3.0,Igual,Bus gratuito,Escuchar a los jóvenes,Mejorar la seguridad ,Sí,Más unido
NNA009,2025-10-23,Mujer,12 a 14,RENGO URBANO,Escuela Vicente Huidobro,No lo sé,Rara Vez,Rara vez,Nunca,Algo seguro/a,En micro,Algo seguro/a,Aceptable,A veces,A veces,2.0,Para mejor,Bus gratuito,Apoyar proyectos escolares,,Sí,Más moderno
NNA010,2025-10-23,Hombre,14 a 18,CHANQUEAHUE,Liceo Bicentenario Oriente,No lo sé,No,No,"Sí, varias veces",Muy seguro/a,En transporte escolar,Muy seguro/a,Sucio,Rara vez,A veces,3.0,Igual,Bus gratuito,Escuchar a los jóvenes,No sabría responder ,Sí,Más moderno
NNA011,2025-10-27,Hombre,14 a 18,CHANQUEAHUE,Liceo Luis Urbina Flores,Débil,Sí,Rara vez,Rara vez,Muy seguro/a,En micro,Muy seguro/a,Aceptable,A veces,A veces,2.0,Para peor,Bus gratuito,Escuchar a los jóvenes,Modernizar ,Sí,Más verde
NNA012,2025-10-28,Mujer,14 a 18,RENGO URBANO,Liceo Luis Urbina Flores,No lo sé,Rara Vez,No,Rara vez,Muy seguro/a,A pie,Muy seguro/a,Aceptable,"Sí, frecuentemente",A veces,2.0,Igual,Bus gratuito,Escuchar a los jóvenes,"La verdad creo que se ha mejorado todo en general con el nuevo alcalde,de áreas verdes seguridad etc,pero también sería bueno que el gimnasio municipal sea más usado y lo presenten para actividades co",Sí,Más justo
NNA013,2025-10-28,Mujer,14 a 18,LO DE LOBO,Liceo Bicentenario Oriente,Fuerte,Sí,Rara vez,Prefiero no responder,Algo seguro/a,En auto particular,Algo seguro/a,Sucio,"Sí, frecuentemente",A veces,2.0,No lo sé,Bus gratuito,Escuchar a los jóvenes,,Sí,Más justo
NNA014,2025-10-28,Hombre,14 a 18,RENGO URBANO,Liceo Luis Urbina Flores,Muy fuerte,Sí,Sí,Rara vez,Algo seguro/a,A pie,Algo seguro/a,Aceptable,"Sí, frecuentemente",Siempre,4.0,Igual,Bus gratuito,Apoyar proyectos escolares,Ir a los centros educativos y escuchar las falencias qué tienen y también apoyar sus proyectos ,Sí,Más unido
NNA015,2025-10-29,Mujer,14 a 18,ESMERALDA,Liceo Luis Urbina Flores,No lo sé,Sí,Rara vez,Rara vez,Muy seguro/a,En micro,Algo seguro/a,Aceptable,A veces,No sé,2.0,Igual,Bus gratuito,Fomentar reciclaje,Yo primero haría ejercicios deportivos mas frecuentes entre establecimientos educativos de la educación.,Sí,Más moderno
NNA016,2025-10-29,Hombre,18 a 20,RENGO URBANO,Liceo Esteban Leyton Soto,Fuerte,Rara Vez,Rara vez,Rara vez,Muy seguro/a,En bicicleta,Muy seguro/a,Aceptable,A veces,Siempre,4.0,Para mejor,Bus gratuito,Escuchar a los jóvenes,,Sí,Más moderno
NNA017,2025-10-29,Hombre,14 a 18,RENGO URBANO,Liceo Bicentenario Oriente,Muy fuerte,Sí,No,Nunca,Muy seguro/a,Caminando ,Muy seguro/a,No lo sé,A veces,A veces,3.0,Para mejor,Bicicleta normal ,Fomentar reciclaje,Aumentar la seguridad en las calles.,Sí,Más moderno
NNA018,2025-10-29,Mujer,14 a 18,RENGO URBANO,Liceo Industrial de Rengo,No lo sé,Sí,No,"Sí, varias veces",Poco seguro/a,A pie,Algo seguro/a,Sucio,"Sí, frecuentemente",A veces,2.0,Para peor,Bus gratuito,Apoyar proyectos escolares,Mejorar la educación. Crear una carcel como en El Salvador,Sí,Todo lo anterior 
NNA019,2025-10-29,Hombre,12 a 14,RENGO URBANO,Escuela Vicente Huidobro,Fuerte,Sí,No,Rara vez,Muy seguro/a,Colectivo,Muy seguro/a,Aceptable,"Sí, frecuentemente",Siempre,4.0,Igual,Bus gratuito,Crear espacios de reunión,Limpiar y renovar áreas que estén en mal estado ,Sí,Más verde
NNA020,2025-10-30,Mujer,14 a 18,ROSARIO,Liceo Luis Urbina Flores,No lo sé,No,No,"Sí, varias veces",Muy seguro/a,En micro,Muy seguro/a,Sucio,A veces,A veces,2.0,Igual,Bus gratuito,Apoyar proyectos escolares,Mejoras la calidad de vida interesarme primero por los que no tienen nada,Sí,Más justo
