indicador_id,tipo,metrica,dimension,valor,umbral_alerta,interpretacion
1,Concentración,Coeficiente de Gini,Proyectos BIP por localidad,0.541,0.4,Desigualdad moderada-alta
2,Concentración,Coeficiente de Gini,Inversión BIP por localidad,0.718,0.4,Desigualdad alta
3,Concentración,Coeficiente de Gini,Inversión per cápita,0.741,0.4,Desigualdad muy alta
4,Concentración,CR3,Proyectos top 3 localidades,49.2,50.0,Concentración severa
5,Concentración,CR5,Proyectos top 5 localidades,67.1,60.0,2/3 en 5 localidades
6,Concentración,HHI,Proyectos N°,1195,1500,Concentración moderada
7,Brecha,Ratio rural/urbano,Proyectos por 1000 hab,22.38,1.5,Atomización rural
8,Brecha,Ratio rural/urbano,Inversión per cápita,9.41,1.5,Brecha alta a favor rural
9,Cobertura,% acciones sectores top,Eje 1+4 / total,46.7,50.0,Concentración aceptable
10,Inclusión,% acciones NNA,Acciones explícitas NNA,26.2,20.0,Por encima del umbral
11,Dependencia,% FNDR,Fuente FNDR sobre total,54.4,50.0,Vulnerabilidad financiera
12,Pipeline,% Programas,Programas vs proyectos,0.3,5.0,Subdesarrollo programático
