meta_id,eje_id,indicador,unidad,lb_2024,meta_2028,meta_2035,tipo_meta
1,1,Cobertura preescolar (%),%,47.0,65.0,75.0,Inversa-mejor
2,1,NNA con acceso salud mental (%),%,28.0,55.0,80.0,Inversa-mejor
3,1,Bullying habitual (%),%,31.5,18.0,10.0,Directa-mejor
4,1,Espacios deportivos por 1000 hab,unid.,0.9,1.5,2.2,Inversa-mejor
5,2,Empleo formal juvenil (%),%,42.0,55.0,68.0,Inversa-mejor
6,2,Microempresas formalizadas (n),n,320,600,1000,Inversa-mejor
7,3,Cobertura áreas verdes (m²/hab),m²,3.2,6.0,9.0,Inversa-mejor
8,3,% reciclaje domiciliario,%,4.5,18.0,35.0,Inversa-mejor
9,4,Cobertura APR rural (%),%,82.0,92.0,98.0,Inversa-mejor
10,4,Caminos rurales pavimentados (km),km,45,75,120,Inversa-mejor
11,5,Identidad local fuerte NNA (%),%,47.6,62.0,78.0,Inversa-mejor
12,5,Tasa de denuncias por 1000 hab,tasa,28.4,22.0,16.0,Directa-mejor
13,6,Acciones PLADECO ejecutadas (%),%,0,40.0,100.0,Inversa-mejor
14,6,Trámites digitales (%),%,22.0,55.0,85.0,Inversa-mejor
15,6,Coeficiente Gini territorial,Gini,0.741,0.6,0.5,Directa-mejor
16,6,Dependencia FNDR (%),%,54.4,45.0,35.0,Directa-mejor
