codigo_bip,descripcion,anio,tipologia,sector,sub_sector,fuente_financiera,rate,monto_solicitado_M,etapa_actual,institucion_financiera,institucion_formuladora,costo_total_M,localidad,tipo_territorial,latitud,longitud,decada,periodo_pladeco
20018911,"REPOSICION PARCIAL ESCUELA G-195 LAS TORRES, RENGO",1997,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,RS,62072.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,63780.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20040278,ACTUALIZACION PLANO REGULADOR COMUNAL,1997,ESTUDIO BASICO,Multisectorial,DESARROLLO URBANO,FNDR,OT,19000.0,PERFIL,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,19000.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20064989,MEJORAMIENTO QUIP. MEDICO E INDUSTRIAL HOSP.RENGO SS. OHIGGINS,1997,PROYECTO,Salud,ALTA COMPLEJIDAD,Sectorial,RS,42016.0,EJECUCION,MINISTERIO DE SALUD,MINISTERIO DE SALUD,283368.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20067277,MEJORAMIENTO RUTA 5 LONGITUDINAL SUR - PASADA POR RENGO,1997,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",Sectorial,FI,476080.0,EJECUCION,DIRECCION DE VIALIDAD,DIRECCION DE VIALIDAD,476080.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20067691,MEJORAMIENTO SISTEMA A.P DE ROSARIO,1997,PROYECTO,Recursos Hídricos,AGUA POTABLE,Empresa,RS,137947.0,EJECUCION,EMPRESA SERVICIOS SANITARIOS DEL LIBERTADOR S.A,EMPRESA SERVICIOS SANITARIOS DEL LIBERTADOR S.A,501469.0,Rosario,Rural,-34.34788,-70.84245,1990s,Pre-PLADECO
20077618,CONSTRUCCION CALZADA CALLE FRANCISCO RUIZ,1997,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",FNDR,RS,32000.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,32000.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20087393,REPOSICION POSTA SALUD RURAL POPETA RENGO,1997,PROYECTO,Salud,BAJA COMPLEJIDAD,FNDR,RS,1286.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,48138.0,Popeta,Rural,-34.42,-70.88,1990s,Pre-PLADECO
20087419,REPOSICION POSTA SALUD RURAL LO CARTAGENA,1997,PROYECTO,Salud,BAJA COMPLEJIDAD,Sectorial,RS,35375.0,EJECUCION,MINISTERIO DE SALUD,MUNICIPALIDAD DE RENGO,52360.0,Lo Cartagena,Rural,-34.39026,-70.8737,1990s,Pre-PLADECO
20087720,REPOSICION Y AMPLIACION ESCUELA F-197 ESMERALDA DE RENGO,1997,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,FI,87077.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,87077.0,Esmeralda,Rural,-34.34281,-70.9049,1990s,Pre-PLADECO
20087720,REPOSICION Y AMPLIACION ESCUELA F-197 ESMERALDA DE RENGO,1997,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,RS,12000.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,12000.0,Esmeralda,Rural,-34.34281,-70.9049,1990s,Pre-PLADECO
20090483,MEJORAMIENTO SISTEMA AGUA POTABLE DE RENGO,1997,PROYECTO,Recursos Hídricos,AGUA POTABLE,Empresa,RS,9130.0,EJECUCION,EMPRESA SERVICIOS SANITARIOS DEL LIBERTADOR S.A,EMPRESA SERVICIOS SANITARIOS DEL LIBERTADOR S.A,9130.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20090483,MEJORAMIENTO SISTEMA AGUA POTABLE DE RENGO,1997,PROYECTO,Recursos Hídricos,AGUA POTABLE,Empresa,RS,7899.0,EJECUCION,EMPRESA SERVICIOS SANITARIOS DEL LIBERTADOR S.A,EMPRESA SERVICIOS SANITARIOS DEL LIBERTADOR S.A,25714.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20096969,AMPLIACION SERVICIO ALCANTARILLADO RENGO EN 3 SECTORES,1997,PROYECTO,Recursos Hídricos,EVACUACION DISPOSICION FINAL AGUAS SERVIDAS,FNDR,RS,690.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,26753.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20097357,CONSTRUCCION PAVIMENTACION AVENIDA MADRID.,1997,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",Sectorial,RS,60824.0,EJECUCION,SERVICIO VIVIENDA Y URBANIZACION VI REGION,MUNICIPALIDAD DE RENGO,60824.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20097359,CONSTRUCCION PAVIMENTACION AV. EL CIPRES,1997,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",Sectorial,RS,49726.0,EJECUCION,SERVICIO VIVIENDA Y URBANIZACION VI REGION,MUNICIPALIDAD DE RENGO,49726.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20097445,NORMALIZACION ELECTRIFICACION DOMICILIARIA SECTOR EL RETIRO,1997,PROYECTO,Energía,DISTRIBUCION Y CONEXION FINAL USUARIOS,FNDR,,3482.0,PERFIL,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,3482.0,El Retiro,Rural,-34.395,-70.85,1990s,Pre-PLADECO
20098924,CONSTRUCCION SERVICIO A.P.R. SECTOR LA ESMERALDA RENGO,1997,PROYECTO,Recursos Hídricos,AGUA POTABLE,Sectorial,RS,11499.0,EJECUCION,DIRECCION DE PLANEAMIENTO,DIRECCION PLANEAMIENTO MOP VI REGION,11499.0,Esmeralda,Rural,-34.34281,-70.9049,1990s,Pre-PLADECO
20107943,HABILITACION CINE TEATRO MUNICIPAL DE RENGO,1997,PROYECTO,Educación y Cultura,ARTE Y CULTURA,FNDR,FI,19000.0,OPERACION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,19000.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20107943,HABILITACION CINE TEATRO MUNICIPAL DE RENGO,1997,PROYECTO,Educación y Cultura,ARTE Y CULTURA,FNDR,FI,219409.0,OPERACION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,219409.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20108704,REPOSICION ESCUELA F 185 LO DE LOBOS,1997,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,RS,88793.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,88793.0,Lo De Lobo,Rural,-34.37523,-70.82941,1990s,Pre-PLADECO
20108704,REPOSICION ESCUELA F 185 LO DE LOBOS,1997,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,RS,2000.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,2000.0,Lo De Lobo,Rural,-34.37523,-70.82941,1990s,Pre-PLADECO
20108709,REPOSICION MOBILIARIO LICEO POLITECNICO C - 15 RENGO,1997,PROYECTO,Educación y Cultura,EDUCACION MEDIA TECNICO,FNDR,RS,19619.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,19619.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20109352,REPOSICION CENTRO ABIERTO BELLO HORIZONTE RENGO,1997,PROYECTO,Educación y Cultura,EDUCACION PREBASICA,FNDR,RS,3076.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,3076.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
