localidad_id,localidad,tipo_territorial,unidad_vecinal,poblacion_2024,poblacion_nna,latitud,longitud,n_proyectos_bip,costo_bip_total_M,inversion_per_capita_M,proyectos_por_1000hab,n_encuestados_nna,n_encuestados_ciudadana,tasa_participacion_pct
U01,Rengo Centro,Urbano,UV-1,12500,3188,-34.40518,-70.86324,0,0,0.0,0.0,0,0,0.0
U02,Rengo Norte,Urbano,UV-2,6500,1658,-34.395,-70.86,0,0,0.0,0.0,0,0,0.0
U03,Rengo Sur,Urbano,UV-3,4500,1148,-34.415,-70.866,0,0,0.0,0.0,0,0,0.0
U04,Rengo Oriente,Urbano,UV-4,3000,765,-34.404,-70.852,0,0,0.0,0.0,0,0,0.0
U05,Rengo Poniente,Urbano,UV-5,2000,510,-34.406,-70.874,0,0,0.0,0.0,0,0,0.0
U06,Rosario Centro,Urbano,UV-6,4500,1148,-34.34788,-70.84245,3,638990.0,142.0,0.67,0,0,0.0
U07,Rosario Poniente,Urbano,UV-7,3700,944,-34.35,-70.851,0,0,0.0,0.0,0,0,0.0
U08,Rienci Valencia,Urbano,UV-8,3200,816,-34.41,-70.87,1,20000.0,6.25,0.31,0,0,0.0
U09,El Rodeo,Urbano,UV-9,2861,730,-34.403,-70.848,0,0,0.0,0.0,0,0,0.0
R01,Apalta,Rural,UV-10,1850,472,-34.33885,-70.86644,9,4755063.0,2570.3,4.86,0,0,0.0
R02,Chanqueahue,Rural,UV-11,1420,362,-34.4335,-70.78779,12,1625771.0,1144.91,8.45,3,2,0.352
R03,Cobil,Rural,UV-12,1180,301,-34.39994,-70.89498,6,772579.0,654.73,5.08,0,0,0.0
R04,Esmeralda,Rural,UV-13,2650,676,-34.34281,-70.9049,37,54689470.0,20637.54,13.96,2,4,0.226
R05,La Chimba,Rural,UV-14,1340,342,-34.40804,-70.81718,15,7135875.0,5325.28,11.19,0,0,0.0
R06,Las Pataguas,Rural,UV-15,1110,283,-34.3905,-70.95144,3,66175.0,59.62,2.7,0,0,0.0
R07,Lo Cartagena,Rural,UV-16,1580,403,-34.39026,-70.8737,20,3567339.0,2257.81,12.66,0,1,0.063
R08,Lo de Lobo,Rural,UV-17,980,250,-34.37523,-70.82941,33,12893712.0,13156.85,33.67,1,0,0.102
R09,Los Choapinos,Rural,UV-18,2100,536,-34.3192,-70.83674,10,1280750.0,609.88,4.76,0,0,0.0
R10,Los Gomeros,Rural,UV-19,1540,393,-34.35213,-70.87866,2,14104.0,9.16,1.3,1,0,0.065
R11,Malambo,Rural,UV-20,1390,354,-34.42437,-70.83827,7,1180331.0,849.16,5.04,1,1,0.144
R12,Naicura,Rural,UV-21,2050,523,-34.32727,-70.91833,0,0,0.0,0.0,0,0,0.0
R13,Popeta,Rural,,1320,337,-34.42,-70.88,35,8362374.0,6335.13,26.52,0,0,0.0
R14,Pueblo Hundido,Rural,,830,212,-34.37959,-70.88094,2,11199.0,13.49,2.41,0,0,0.0
R15,San Jorge,Rural,,920,235,-34.31297,-70.87804,0,0,0.0,0.0,0,2,0.217
R16,Santa Isabel,Rural,,765,195,-34.30677,-70.90131,0,0,0.0,0.0,0,0,0.0
