punto_id,tipo_punto,nombre,latitud,longitud,localidad,categoria,valor_M,fecha
BIP0000,Proyecto BIP,"REPOSICION PARCIAL ESCUELA G-195 LAS TORRES, RENGO",-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,63780.0,1997
BIP0001,Proyecto BIP,ACTUALIZACION PLANO REGULADOR COMUNAL,-34.40518,-70.86324,Rengo (comunal),Multisectorial,19000.0,1997
BIP0002,Proyecto BIP,MEJORAMIENTO QUIP. MEDICO E INDUSTRIAL HOSP.RENGO SS. OHIGGI,-34.40518,-70.86324,Rengo (comunal),Salud,283368.0,1997
BIP0003,Proyecto BIP,MEJORAMIENTO RUTA 5 LONGITUDINAL SUR - PASADA POR RENGO,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,476080.0,1997
BIP0004,Proyecto BIP,MEJORAMIENTO SISTEMA A.P DE ROSARIO,-34.34788,-70.84245,Rosario,Recursos Hídricos,501469.0,1997
BIP0005,Proyecto BIP,CONSTRUCCION CALZADA CALLE FRANCISCO RUIZ,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,32000.0,1997
BIP0006,Proyecto BIP,REPOSICION POSTA SALUD RURAL POPETA RENGO,-34.42,-70.88,Popeta,Salud,48138.0,1997
BIP0007,Proyecto BIP,REPOSICION POSTA SALUD RURAL LO CARTAGENA,-34.39026,-70.8737,Lo Cartagena,Salud,52360.0,1997
BIP0008,Proyecto BIP,REPOSICION Y AMPLIACION ESCUELA F-197 ESMERALDA DE RENGO,-34.34281,-70.9049,Esmeralda,Educación y Cultura,87077.0,1997
BIP0009,Proyecto BIP,REPOSICION Y AMPLIACION ESCUELA F-197 ESMERALDA DE RENGO,-34.34281,-70.9049,Esmeralda,Educación y Cultura,12000.0,1997
BIP0010,Proyecto BIP,MEJORAMIENTO SISTEMA AGUA POTABLE DE RENGO,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,9130.0,1997
BIP0011,Proyecto BIP,MEJORAMIENTO SISTEMA AGUA POTABLE DE RENGO,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,25714.0,1997
BIP0012,Proyecto BIP,AMPLIACION SERVICIO ALCANTARILLADO RENGO EN 3 SECTORES,-34.40518,-70.86324,Rengo (comunal),Recursos Hídricos,26753.0,1997
BIP0013,Proyecto BIP,CONSTRUCCION PAVIMENTACION AVENIDA MADRID.,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,60824.0,1997
BIP0014,Proyecto BIP,CONSTRUCCION PAVIMENTACION AV. EL CIPRES,-34.40518,-70.86324,Rengo (comunal),Transporte y Vialidad,49726.0,1997
BIP0015,Proyecto BIP,NORMALIZACION ELECTRIFICACION DOMICILIARIA SECTOR EL RETIRO,-34.395,-70.85,El Retiro,Energía,3482.0,1997
BIP0016,Proyecto BIP,CONSTRUCCION SERVICIO A.P.R. SECTOR LA ESMERALDA RENGO,-34.34281,-70.9049,Esmeralda,Recursos Hídricos,11499.0,1997
BIP0017,Proyecto BIP,HABILITACION CINE TEATRO MUNICIPAL DE RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,19000.0,1997
BIP0018,Proyecto BIP,HABILITACION CINE TEATRO MUNICIPAL DE RENGO,-34.40518,-70.86324,Rengo (comunal),Educación y Cultura,219409.0,1997
BIP0019,Proyecto BIP,REPOSICION ESCUELA F 185 LO DE LOBOS,-34.37523,-70.82941,Lo De Lobo,Educación y Cultura,88793.0,1997
BIP0020,Proyecto BIP,REPOSICION ESCUELA F 185 LO DE LOBOS,-34.37523,-70.82941,Lo De Lobo,Educación y Cultura,2000.0,1997
