tabla,tipo,n_filas,descripcion,campo_clave,fecha_actualizacion
dim_localidades,Dimensión,25,21 localidades + 4 alias urbanos. Población 2024 estimada Censo.,localidad_id,2026-04-28
dim_ejes_pladeco,Dimensión,6,6 ejes estratégicos con conteo de objetivos y acciones.,eje_id,2026-04-28
dim_sectores_bip,Dimensión,12,12 sectores de inversión SNI/MDSF con paleta de colores.,sector_id,2026-04-28
fact_proyectos_bip,Hechos,1182,Portafolio histórico BIP/SNI georreferenciado 1997-2025.,codigo_bip,2026-04-28
fact_acciones_pladeco,Hechos,225,"Matriz SUBDERE: 225 acciones con eje, plazo, responsable, financiamiento, ODS y flags de inclusión.",accion_id,2026-04-28
fact_encuesta_nna_wide,Hechos,21,Encuesta online NNA 2026: una fila por respondiente con KPIs principales.,respondiente_id,2026-04-28
fact_encuesta_nna_long,Hechos,1057,Mismo dato anterior en formato largo (una fila por par pregunta-respuesta) para análisis libre en Looker.,respondiente_id+pregunta_id,2026-04-28
fact_encuesta_ciudadana_wide,Hechos,119,Encuesta Ciudadana Online 2026: 119 respondientes con KPIs principales.,respondiente_id,2026-04-28
fact_encuesta_ciudadana_long,Hechos,9166,Encuesta Ciudadana en formato largo.,respondiente_id+pregunta_id,2026-04-28
fact_diagnostico_infancia,Hechos,31,KPIs sintetizados del Diagnóstico Comunal de Infancia 2025 (4.036 NNA encuestados).,kpi_id,2026-04-28
fact_indicadores_desigualdad,Hechos,12,"Gini, CR3/CR5, HHI, brechas territoriales (con umbrales de alerta).",indicador_id,2026-04-28
fact_metas_seguimiento,Hechos,16,Metas medibles del PLADECO: Línea Base 2024 → Meta 2028 → Meta 2035.,meta_id,2026-04-28
fact_uv_resumen,Hechos,25,Cruce por unidad vecinal: BIP + encuestas + población. Para mapas temáticos.,localidad_id,2026-04-28
geo_puntos,Geo,525,Tabla de puntos georreferenciados (BIP + localidades) para capa de mapa.,punto_id,2026-04-28
